Date,Tournament,Court Type,Player1,Player1_Rank,Player1_RankingPoints,Player2,Player2_Rank,Player2_RankingPoints,Best of Sets,ScoreProgression_Games,ScoreProgression_Sets
2024-05-06,"Rome, Qualifying",red-clay,"Nakashima, Brandon",72,760,"Fatic, Nerman",207,295,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [6, 5], [7, 5]]]","[[1, 0], [2, 0]]"
2024-05-06,"Rome, Qualifying",red-clay,"Wolf, Jeffrey John",101,605,"Zapata Miralles, Bernabe",178,340,3,"[[[0, 1], [0, 2], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [3, 5], [4, 5], [4, 6]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [7, 6]], [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [5, 1], [6, 1]]]","[[0, 1], [1, 1], [2, 1]]"
2024-05-06,"Rome, Qualifying",red-clay,"De Jong, Jesper",162,368,"Rodionov, Jurij",133,487,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [0, 2], [0, 3], [1, 3], [2, 3], [2, 4], [2, 5], [2, 6]], [[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[1, 0], [1, 1], [2, 1]]"
2024-05-05,Madrid,red-clay,"Auger Aliassime, Felix",20,1880,"Rublev, Andrey",6,4740,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [4, 1], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [5, 7]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [5, 7]]]","[[1, 0], [1, 1], [1, 2]]"
2024-05-03,Madrid,red-clay,"Fritz, Taylor",13,2870,"Rublev, Andrey",6,4740,3,"[[[1, 0], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [4, 6]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [3, 5], [3, 6]]]","[[0, 1], [0, 2]]"
2024-05-01,Madrid,red-clay,"Rublev, Andrey",6,4740,"Alcaraz, Carlos",3,7345,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]], [[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]], [[1, 0], [2, 0], [2, 1], [3, 1], [4, 1], [5, 1], [5, 2], [6, 2]]]","[[0, 1], [1, 1], [2, 1]]"
2024-05-01,Madrid,red-clay,"Fritz, Taylor",13,2870,"Cerundolo, Francisco",22,1870,3,"[[[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [5, 1], [6, 1]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [3, 5], [3, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [5, 3], [6, 3]]]","[[1, 0], [1, 1], [2, 1]]"
2024-04-30,Madrid,red-clay,"Rublev, Andrey",6,4740,"Griekspoor, Tallon",26,1595,3,"[[[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [4, 2], [5, 2], [6, 2]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [6, 4]]]","[[1, 0], [2, 0]]"
2024-04-30,Madrid,red-clay,"Medvedev, Daniil",4,7195,"Bublik, Alexander",17,2055,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]], [[1, 0], [2, 0], [3, 0], [4, 0], [4, 1], [5, 1], [5, 2], [5, 3], [5, 4], [6, 4]]]","[[1, 0], [2, 0]]"
2024-04-30,Madrid,red-clay,"Hurkacz, Hubert",9,3730,"Fritz, Taylor",13,2870,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]]]","[[0, 1], [0, 2]]"
